ha,寮の管理を行っているのはワタシだ
sa,学生じゃないんですか？
ha,いや、ワタシもキミたちと同じ学生だ。言葉不足で済まない。ワタシは"二条院羽月"という
ha,全体を統括しているのは教員だが、各寮を管理しているのは寮長である学生なんだ
ha,もちろんキミたち2人のこと訊いている。わたしの管理する第三寮に、入寮することになっている
sa,話が早くて助かります
sa,俺は、在原曉です
na,わたしは…妹の在原七海です。よろしくお願いします
ha,分かった。こちらこそよろしく頼む、七海君
na,え！？あっ、はい…お願いします…
ha,どうした、体調でも悪いか？顔が赤いぞ？
sa,名前で呼ばれて照れてるだけなので、気にしない下さい
ha,ああ、すまない。いきなり過ぎだな。少々礼儀を欠いていた
na,い、いえ、そんな風には思ったわけではないです…平気です
sa,名前で呼ばれるのも、今日だけで3回目だ。そろそろ慣れたらどうだ？
na,今日1日でなれるなんて無理だよ～
ha,改めて。よろしく頼む、七海君
na,あっ、はい！こちらこそ…改めてよろしくお願いします、二条院先輩
ha,在原君も無理に畏まらなくていい。その方がワタシとしても気を遣わなくて助かる
sa,じゃあ…これからよろしく、二条院さん
ha,ああ！
ha,では早速、中を案内しよう
